datetime,year,month,day,holiday,temp,tempmax,tempmin,humidity,precip,snowdepth,solarenergy,weather,dew,precipcover,windspeed,solarradiation,pothole
2011-01-01,2011,1,1,1,-3.7,8.1,-9.2,58.9,1.38,0,8.3,5,-10.6,4.17,39.1,96.2,39
2011-01-02,2011,1,2,1,-7.2,-4,-10.8,59.2,0,0,9.4,1,-14,0,29.1,109.2,25
2011-01-03,2011,1,3,0,-1.8,2,-5.8,62,0,0,7.6,2,-8.3,0,19.3,88,253
2011-01-04,2011,1,4,0,-5,-0.6,-9.2,66.7,0,0,9.1,2,-10.3,0,23.5,106.5,303
2011-01-05,2011,1,5,0,-5.8,-0.4,-11.4,66.1,0,0,6,2,-11.2,0,19.1,68.7,319
2011-01-06,2011,1,6,0,-3.9,-1.7,-7.2,61.3,0,0,6.9,2,-10.6,0,29.3,79.6,284
2011-01-07,2011,1,7,0,-7.6,-5.8,-9.8,63.6,0.14,0,5.3,6,-13.4,8.33,25.7,60.8,222
2011-01-08,2011,1,8,1,-8.8,-4.4,-12.4,62.8,0,0,5.4,2,-14.7,0,28.8,62.4,20
2011-01-09,2011,1,9,1,-6.6,-1.1,-12,60.1,0,0,8.1,2,-13.3,0,15.3,95,35
2011-01-10,2011,1,10,0,-3.2,0.1,-6.4,60.3,0,0,8.2,2,-10.1,0,22.2,95,300
2011-01-11,2011,1,11,0,-3.7,-2.8,-4.9,78.5,3.37,8.2,1.8,6,-7,66.67,27.6,20,214
2011-01-12,2011,1,12,0,-4,-2.3,-6.1,70.7,0,8.7,5,3,-8.6,0,28.7,57.5,208
2011-01-13,2011,1,13,0,-5.9,-4.2,-8.9,74.8,0,6.3,4,3,-9.7,0,16.9,46.9,200
2011-01-14,2011,1,14,0,-6,-3.3,-8.3,74.1,0,5,6.6,3,-9.9,0,16.2,76.7,220
2011-01-15,2011,1,15,1,-5.2,-3.5,-7.9,68.9,0.07,4.6,5.7,6,-10.1,4.17,26.1,68,23
2011-01-16,2011,1,16,1,-8.1,-5.3,-12.6,70.3,0,3.9,6.6,2,-12.5,0,14.1,77.6,35
2011-01-17,2011,1,17,1,-3,1.3,-7.1,76.7,2.93,5,3.8,5,-6.6,50,27.2,43.2,31
2011-01-18,2011,1,18,0,-1.8,1.1,-5,85,1.79,3.5,4.9,5,-4,29.17,29.4,57.7,187
2011-01-19,2011,1,19,0,-6.5,-4.2,-8.5,68.6,0,3.5,6.3,2,-11.4,0,19.5,73.3,205
2011-01-20,2011,1,20,0,-8.5,-6.2,-13.1,66,0,3.4,3.4,2,-13.8,0,26.3,41.9,287
2011-01-21,2011,1,21,0,-15.5,-12.6,-18.7,56.7,0,3,9.8,2,-22.3,0,32,114.3,233
2011-01-22,2011,1,22,1,-11.4,-7.5,-13.9,67.7,0.07,3.7,5.3,6,-16.2,4.17,21.8,61.4,47
2011-01-23,2011,1,23,1,-10.2,-6.3,-14.1,57.1,0,3.9,7.7,2,-17.3,0,21.9,89,43
2011-01-24,2011,1,24,0,-5.7,-2.2,-9,82.3,0.28,4.6,5.9,6,-8.3,16.67,20,70.1,192
2011-01-25,2011,1,25,0,-3.1,-1.1,-5.9,82.8,0,3.5,8.7,3,-5.6,0,14.4,100.4,249
2011-01-26,2011,1,26,0,-4.4,-1.9,-7.1,79.1,0,3.5,7.7,3,-7.5,0,15.9,88.3,268
2011-01-27,2011,1,27,0,-5.4,-3.4,-8,80.8,0.59,3.9,3.5,6,-8.2,16.67,21.2,40.3,193
2011-01-28,2011,1,28,0,-3.3,-0.3,-7.5,72.9,0,5,10.6,2,-7.5,0,22.1,122.5,182
2011-01-29,2011,1,29,1,-0.8,1.3,-3,75.2,0,4.2,11.2,3,-4.7,0,26.1,129.4,50
2011-01-30,2011,1,30,1,-1.5,-0.9,-2.4,75.3,0,3.5,8.6,3,-5.4,0,22.4,97.5,39
2011-01-31,2011,1,31,0,-5,-3,-6.8,66.5,0.75,3.5,5.7,6,-10.3,12.5,29.1,67.6,249
2011-02-01,2011,2,1,0,-5.7,-4.4,-6.8,81.5,7.43,8,4,6,-8.4,54.17,58.1,47.7,162
2011-02-02,2011,2,2,0,-6.6,-4.4,-11.2,73.2,10.74,44.9,5.6,6,-10.8,79.17,57.1,64.2,6
2011-02-03,2011,2,3,0,-13,-8.4,-18.1,56.8,3.22,48.9,12.9,6,-20.1,79.17,28.3,148.6,13
2011-02-04,2011,2,4,0,-8.7,-3.2,-13.9,50.7,0.36,46,13.1,6,-17.1,25,23.4,153.1,55
2011-02-05,2011,2,5,1,-6.5,-1.8,-11.8,63.2,0,44.1,8.3,2,-12.5,0,17.5,95.4,13
2011-02-06,2011,2,6,1,-1.7,-0.2,-4,84.5,3.14,42.1,6.7,6,-3.9,45.83,14.4,77.2,12
2011-02-07,2011,2,7,0,-3.2,-0.4,-5.4,75.8,1.36,46.5,9.5,6,-6.9,20.83,15.7,111.5,160
2011-02-08,2011,2,8,0,-10.8,-5.1,-16.1,64,0,51.3,10.6,2,-16.4,0,29.4,122.7,158
2011-02-09,2011,2,9,0,-14.8,-11.2,-17.2,58.3,0,48,12,2,-21.2,0,22.2,139.5,96
2011-02-10,2011,2,10,0,-14.5,-9.2,-21,62.5,0,46,13.7,1,-20.3,0,25.5,159.4,142
2011-02-11,2011,2,11,0,-7.3,-1.3,-12.7,68.7,0,44.5,8.3,3,-12.1,0,24.2,95.6,177
2011-02-12,2011,2,12,1,0.2,3.1,-3.2,72.2,0,42.5,11.6,2,-4.3,0,23.3,134.3,29
2011-02-13,2011,2,13,1,4.3,8.3,0.8,61,0,39.5,13.9,2,-2.7,0,40,158.6,49
2011-02-14,2011,2,14,0,3.5,5.6,-0.9,65.5,0,31.3,14.3,2,-2.5,0,34.8,164.9,356
2011-02-15,2011,2,15,0,0.5,3.9,-3.5,61.4,0.1,24,9,5,-6.3,4.17,27.8,104,704
2011-02-16,2011,2,16,0,6.4,10.1,3.1,73.4,0.42,19,9.7,5,1.9,4.17,18.3,114.9,624
2011-02-17,2011,2,17,0,11.7,13.9,9.5,78.6,0,9.3,6.6,3,8.1,0,32.5,76.8,394
2011-02-18,2011,2,18,0,6,12.3,1.8,52,0,0,15.1,2,-3.4,0,36.3,175.3,236
2011-02-19,2011,2,19,1,-0.7,1.5,-2.6,58,0,0,11.6,2,-8.2,0,22.3,135.1,81
2011-02-20,2011,2,20,1,0.8,2.3,-1.9,84.8,21.23,0,4.4,5,-1.5,66.67,25,51.1,63
2011-02-21,2011,2,21,1,-0.9,1.1,-3.3,88.2,2.13,0,6.8,5,-2.6,8.33,28.1,79,343
2011-02-22,2011,2,22,0,-3.7,-3,-4.4,75.4,0.17,3,10.4,6,-7.5,8.33,18.7,120.9,301
2011-02-23,2011,2,23,0,-1.8,1,-4.2,77.9,2.21,0,14.6,5,-5.2,8.33,21.5,169.6,550
2011-02-24,2011,2,24,0,1.2,2.8,0.5,75.9,0,0,10.1,3,-2.7,0,35,114.8,386
2011-02-25,2011,2,25,0,-0.2,1.8,-1.2,70.7,0.57,0,13.1,5,-5,16.67,30.2,151.2,385
2011-02-26,2011,2,26,1,-1.8,0.4,-3.4,85.7,1.89,3,5.6,5,-3.9,54.17,13.8,64.7,141
2011-02-27,2011,2,27,1,0.1,2.7,-3,81.1,5.39,3,9.2,5,-2.8,20.83,26.7,106.1,100
2011-02-28,2011,2,28,0,-0.5,2.9,-2.6,70.1,2.84,0,16.2,5,-5.5,16.67,27.4,187.3,447
2011-03-01,2011,3,1,0,1.3,6.5,-4.4,69.5,0,0,17.2,2,-3.8,0,28,198.7,458
2011-03-02,2011,3,2,0,-1.2,2.9,-3.5,62.1,0,0,17.6,2,-7.7,0,23.6,205.7,594
2011-03-03,2011,3,3,0,2.3,7.1,-3.3,54.6,0,0,7.3,2,-6.3,0,29.2,85.2,435
2011-03-04,2011,3,4,0,6.5,13.1,2,75,17.54,0,5.9,5,2.2,54.17,27.7,70.9,410
2011-03-05,2011,3,5,1,0,2,-2.8,85.2,1.93,3,8.5,5,-2.2,37.5,35.7,97.2,118
2011-03-06,2011,3,6,1,-1.7,0.2,-2.4,74.5,0,3,18.1,3,-5.6,0,26.2,210.2,130
2011-03-07,2011,3,7,0,-0.7,1.2,-3.5,78.7,0,0,13.9,3,-3.9,0,16.7,159.8,232
